"Code","Description (DK)","Description (ENG)"
0,"Fælleskoder","Common Code"
1000,"Alm. Programmer","Ordinary programs"
1100,"1. Nyheder.","1. News"
1110,"1A. Alm. Nyheder.","1A. Ordinary News."
1120,"1B. Sports Nyheder.","1B. Sport News."
1200,"2. Aktualitet.","2. actuality programme"
1300,"3. Oplysning og Kultur.","3. Info and Culture"
1400,"4. Undervisning.","4. Education"
1500,"5. Musik.","5. Music"
1600,"6. Underholdning.","6. Entertainment"
1700,"7. Dramatik og Fiktion.","7. Drama and Fiction."
1710,"16. (7a) Dansk/Nordisk Fiktion.","16. (7a) Danish/Nordic Fiction."
1720,"17. (7b) Udenlandsk Fiktion.","17. (7b) Foreign Fiction."
1800,"8. Sport.","8. Sport."
1900,"13. Regionalprogrammer.","13. Region programs"
3000,"Præs./Reklamer/Sponsor o.lign.","Presentation/Commercial/Sponsor and like"
3100,"9. Programpræsentation.","9. Programpresentation"
3200,"10. Reklamer.","10. Commercial"
3300,"11. TV-Shop.","11. TV-Shop."
3400,"12. Sponsor (Intro/Outro).","12. Sponsor (Leadin/Leadout)."
3500,"14. Andet Regionalt TV.","14. Other Region TV."
3600,"15. Ikke egentlige programmer.","15. Not real programs."
9000,"00. Ikke definerede programmer.","00. Undefined programs"
