Field (n of 13),Code,Description (DK),Description (ENG)
targetGroup,1000,Børn & unge,Children and youth
targetGroup,1100,Børn,Children
targetGroup,1110,Små  børn 3-7 år,Small children 3-7
targetGroup,1120,Halvstore børn 7-9 år,Half grown children 7-9
targetGroup,1130,Store børn 9-12 år,Big children 9-12
targetGroup,1140,Børn i alderen 3-9 år,Children in the age of 3-9
targetGroup,1150,Børn i alderen 7-12 år,Children in the age of 7-12
targetGroup,1160,Børn i alderen 8-11 år,Children in the age of 8-11
targetGroup,1170,Børn i alderen 12-14 år,Children in the age of 12-14
targetGroup,1180,Børn i alderen 3-10 år,Children in the age of 3-10
targetGroup,1200,Unge,Youth
targetGroup,1210,13-16 år,13-16 year-olds
targetGroup,1220,17-20 år,17-20 year-olds
targetGroup,1230,15-25 år,15-25 year-olds
targetGroup,2000,Voksne,Grown-ups
targetGroup,2100,Kvinder,Women
targetGroup,2200,Mænd,Men
targetGroup,2300,Unge voksne (21-30),Young adults (21-30)
targetGroup,2310,Kvinder,Women
targetGroup,2320,Mænd,Men
targetGroup,2400,Voksne (31-60),Adults (31-60)
targetGroup,2410,Kvinder,Women
targetGroup,2420,Mænd,Men
targetGroup,2500,Ældre (61+),Elderly people (61+)
targetGroup,2510,Kvinder,Women
targetGroup,2520,Mænd,Men
targetGroup,2600,Voksne i alderen 21-60,Adults in the age of 21-60
targetGroup,2610,Kvinder,Women
targetGroup,2620,Mænd,Men
targetGroup,2700,Voksne i alderen 31+,Adults in the age of 31+
targetGroup,2710,Kvinder,Women
targetGroup,2720,Mænd,Men
targetGroup,2800,Unge og unge voksne (15-30),Young and young adult (15-30)
targetGroup,2810,Kvinder,Women
targetGroup,2820,Mænd,Men
targetGroup,2900,Unge og unge voksne (15-40),Young and young adult (15-40)
targetGroup,2910,Kvinder,Women
targetGroup,2920,Mænd,Men
targetGroup,3000,Familie ( mindst 2 generationer),Family ( at least 2 generations)
targetGroup,4000,Specielle målgrupper,Special target groups
targetGroup,4100,Etniske minoriteter,Ethnic minorities
targetGroup,4118,Børn i alderen 3-10 år,Children in the age of 3-10
targetGroup,4123,15-25 år,15-25 year-olds
targetGroup,4200,Handicappede,Handicapped persons
targetGroup,4210,Døve og hørehæmmede,Deaf and hearing-impaired persons
targetGroup,4211,Børn 3-12 år,Børn (3-12)
targetGroup,4212,Unge 13-20 år,Unge (13-20)
targetGroup,4213,Voksne,Grown-ups
targetGroup,4220,Andet handicap,Other handicap
targetGroup,4300,Specifikt erhverv,Specific occupation
targetGroup,4400,Specifik interessegruppe,Specific interest group
targetGroup,4410,Interesse for Kulturudsendelser,Interest in Culture programmes
targetGroup,4420,Interesse for Religion,Interest in Religion
targetGroup,4430,Interesse for Politisk debat,Interest in Political debate
targetGroup,4440,Interesse for Almindelige mennesker,Interest in Ordinary people
targetGroup,4450,Interesse for Quiz,Interest in Quiz shows
targetGroup,4460,Interesse for Naturvidenskab,Interest in Science
targetGroup,4470,Interesse for Gør-det-selv,Interest in Do-it-yourself
targetGroup,4480,Interesse for Have,Interest in Gardening
targetGroup,4490,Interesse for Sport i tv,Interest in Sports on TV
targetGroup,4500,RISC-Segmenter,RISC-Segments
targetGroup,4510,Blå,Blue
targetGroup,4520,Grøn,Green
targetGroup,4530,Grå,Gray
targetGroup,4540,Violet,Violet
targetGroup,4550,Rosa,Pink
targetGroup,4560,Nord (Blå + Grøn),North (Blue + Green)
targetGroup,4570,Syd  (Violet + Rosa),South (Violet + Rose)
targetGroup,4580,Vest (Blå  + Violet),West  (Blue + Violet)
targetGroup,4590,Øst  (Grøn + Rosa),East  (Green + Pink)
targetGroup,4610,Moderne,Modern
targetGroup,4620,Moderne individorienterede,Modern individual
targetGroup,4630,Individorienterede,Individual
targetGroup,4640,Traditionelle individorienterede,Traditional individual
targetGroup,4650,Traditionelle,Traditional
targetGroup,4660,Traditionelle fællesskabsorienterede,Traditional community orientated
targetGroup,4670,Fællesskabsorienterede,Community orientated
targetGroup,4680,Moderne Fællesskabsorienterede,Modern community orientated
targetGroup,4690,Center,Centre
targetGroup,5000,Til  alle (Incl: uden målgruppeangivelse),For everybody (Incl: no target group specification)
contentsItem,1000,Samfundsforhold (fakta),Social conditions (facts)
contentsItem,1100,Samfundsforhold i et land,Social conditions in a country
contentsItem,1110,Politiske forhold,Political conditions
contentsItem,1111,Kongehus,The royal house
contentsItem,1112,Regering/ Folketing,Government/the Danish Parliament
contentsItem,1113,De  politiske partier,The political parties
contentsItem,1114,Valg,Election
contentsItem,1119,Andet,Other
contentsItem,1120,Sociale og retslige forhold,Social and legal conditions
contentsItem,1121,Kriminalitet,Crime
contentsItem,1122,Lov og pligt,Law and duty
contentsItem,1123,Svage grupper,Underprivileged
contentsItem,1124,Indvandrere,Immigrants
contentsItem,1125,Øvrige sociale forhold,Other social conditions
contentsItem,1126,Øvrige retslige forhold,Other legal conditions
contentsItem,1129,Andet,Other
contentsItem,1130,Økonomi og erhvervsforhold,Economy and trade conditions
contentsItem,1131,Arbejdsmarked,Labour market
contentsItem,1132,Industri,Industry
contentsItem,1133,Servicefag,Service trades
contentsItem,1134,Håndværk,Crafts
contentsItem,1135,Landbrug/fiskeri,Agriculture/fishing
contentsItem,1136,Energi,Energy
contentsItem,1137,Forbrugerstof,Consumer issues
contentsItem,1138,Skat og privatøkonomi,Taxes and private economy
contentsItem,1139,Andet,Other
contentsItem,1140,"Miljø, økologi og sundhed","Environment, ecology and health"
contentsItem,1141,Miljø og økologi,Environment and ecology
contentsItem,1142,Sundhed,Health
contentsItem,1144,Boligforhold,Housing conditions
